,PC1,PC2,PC3,PC4,PC5
price_income_pct,0.37351423594779437,0.5928603260062222,-0.009930404634070692,0.16445448999222584,0.05359872807040482
price_per_bey,0.35532871152633616,0.5688776588767821,-0.27931545214044684,-0.10386071783670385,-0.07646163018511133
bey_count,0.07670366118139343,0.10987637363151317,0.6107144589539902,0.6201146445541937,0.3009699250956921
launcher_included,0.3404391024734616,-0.21356930736358137,0.42784351349336397,-0.21315934918355967,-0.02784258072798149
stadium_included,0.21878813422659124,-0.034516263325288225,0.07613069677685963,-0.5420875782967803,0.7604460637891974
package_usage_mean,0.5161456977068897,-0.35256100513919675,-0.22479216936980081,0.08800491882729967,-0.17764625402123302
package_usage_max,0.544049340027353,-0.32793409408467744,-0.029636696403243214,0.1738263393795071,-0.10376809749081888
package_meta_coverage,0.04671268407960259,0.1848750164480205,0.5555684536311983,-0.44762616873163297,-0.5285058796152076
